STATE/UT,DISTRICT,YEAR,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES
GUJARAT,PORBANDAR,2004,11,9,0,1,0,1,7,4,3,0,0,7,45,74,37,37,13,46,25,2,6,137,0,5,0,41,0,37,542,1008
GUJARAT,RAJKOT COMMR.,2004,37,16,0,9,0,9,39,32,7,6,2,24,332,1216,613,603,72,29,69,6,8,341,4,10,10,184,0,93,1832,4339
GUJARAT,RAJKOT RURAL,2004,36,22,0,17,0,17,41,41,0,10,1,24,256,326,91,235,66,64,15,1,15,526,3,47,4,265,0,255,2184,4178
GUJARAT,SURAT COMMR.,2004,74,8,5,24,0,24,72,47,25,31,1,61,317,1543,1063,480,62,46,140,10,9,467,17,21,6,102,0,383,732,4131
GUJARAT,SURAT RURAL,2004,47,12,0,14,0,14,13,13,0,23,1,24,78,154,98,56,18,20,26,0,3,248,3,11,2,33,0,398,1486,2614
GUJARAT,SURENDRANAGAR,2004,28,22,0,13,0,13,27,23,4,8,0,13,143,266,74,192,46,89,16,4,11,446,0,35,0,63,0,148,1472,2850
GUJARAT,VADODARA COMMR.,2004,28,33,0,6,0,6,44,34,10,14,0,40,488,1414,709,705,164,88,268,3,16,305,0,10,8,140,0,125,2357,5551
GUJARAT,VADODARA RURAL,2004,85,9,5,22,0,22,56,54,2,12,0,20,101,296,58,238,38,77,18,0,13,496,0,43,0,84,0,194,1573,3142
GUJARAT,VALSAD,2004,36,13,0,9,0,9,22,16,6,13,3,34,229,346,150,196,35,35,45,4,10,230,0,12,0,40,0,0,1449,2565
GUJARAT,W.RLY,2004,13,4,0,3,0,3,3,0,3,6,0,109,16,1259,0,1259,10,12,33,2,2,23,0,9,10,4,0,0,758,2276
GUJARAT,TOTAL,2004,1113,469,27,339,0,339,1133,905,228,360,15,1136,5828,18551,6931,11620,1599,1612,1726,122,388,12262,58,757,164,3955,0,3958,49897,105469
GUJARAT,AHMEDABAD COMMR.,2005,76,49,4,35,0,35,219,136,83,23,3,159,825,5359,2264,3095,150,267,344,9,6,1361,1,54,26,745,0,188,7565,17468
